SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
542503,Mahip Industries Ltd,Active,MT,10.00,INE00CX01017,,MAHIP,Equity,https://www.bseindia.com/stock-share-price/mahip-industries-ltd/mahip/542503/,Mahip Industries Limited,42.56
542513,UTI BSE Sensex Next 50 ETF,Active,A,1.00,INF789F1AUU3,,SNXT50BETA,Equity,https://www.bseindia.com/stock-share-price/uti-bse-sensex-next-50-etf/snxt50beta/542513/,UTI Mutual Fund,
542524,Ambassador Intra Holdings Ltd,Active,X,10.00,INE342U01016,,AIHL,Equity,https://www.bseindia.com/stock-share-price/ambassador-intra-holdings-ltd/aihl/542524/,AMBASSADOR INTRA HOLDINGS LIMITED,6.60
542544,Jyot International Marketing Ltd,Active,XT,10.00,INE043R01016,,JYOTIN,Equity,https://www.bseindia.com/stock-share-price/jyot-international-marketing-ltd/jyotin/542544/,Jyot International Marketing Limited,
542579,Ashapuri Gold Ornament Ltd,Active,B,1.00,INE05FR01029,,AGOL,Equity,https://www.bseindia.com/stock-share-price/ashapuri-gold-ornament-ltd/agol/542579/,Ashapuri Gold Ornament Limited,134.66
542580,Aartech Solonics Ltd,Active,B,5.00,INE01C001026,,AARTECH,Equity,https://www.bseindia.com/stock-share-price/aartech-solonics-ltd/aartech/542580/,Aartech Solonics Limited,160.57
542592,Humming Bird Education Ltd,Active,MT,1.00,INE02PC01027,,HBEL,Equity,https://www.bseindia.com/stock-share-price/humming-bird-education-ltd/hbel/542592/,Humming Bird Education Limited,12.75
542597,MSTC Ltd,Active,B,10.00,INE255X01014,,MSTCLTD,Equity,https://www.bseindia.com/stock-share-price/mstc-ltd/mstcltd/542597/,MSTC Limited,4879.07
542599,Roopshri Resorts Ltd,Active,MT,10.00,INE03WT01017,,ROOPSHRI,Equity,https://www.bseindia.com/stock-share-price/roopshri-resorts-ltd/roopshri/542599/,Roopshri Resorts Limited,49.23
542627,Chandni Machines Ltd,Active,X,10.00,INE01GZ01011,,CHANDNIMACH,Equity,https://www.bseindia.com/stock-share-price/chandni-machines-ltd/chandnimach/542627/,Chandni Machines Limited,23.53
542628,Northern Spirits Ltd,Active,B,10.00,INE01BL01012,,NSL,Equity,https://www.bseindia.com/stock-share-price/northern-spirits-ltd/nsl/542628/,Northern Spirits Limited,212.92
542649,Rail Vikas Nigam Ltd,Active,A,10.00,INE415G01027,,RVNL,Equity,https://www.bseindia.com/stock-share-price/rail-vikas-nigam-ltd/rvnl/542649/,Rail Vikas Nigam Limited,50895.34
542650,Metropolis Healthcare Ltd,Active,A,2.00,INE112L01020,,METROPOLIS,Equity,https://www.bseindia.com/stock-share-price/metropolis-healthcare-ltd/metropolis/542650/,Metropolis Healthcare Limited,11448.64
542651,KPIT Technologies Ltd,Active,A,10.00,INE04I401011,,KPITTECH,Equity,https://www.bseindia.com/stock-share-price/kpit-technologies-ltd/kpittech/542651/,KPIT Technologies Ltd,20936.36
542652,Polycab India Ltd,Active,A,10.00,INE455K01017,,POLYCAB,Equity,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/,Polycab India Limited,151802.98
542654,V R Films & Studios Ltd,Active,B,10.00,INE06LG01010,,VRFILMS,Equity,https://www.bseindia.com/stock-share-price/v-r-films--studios-ltd/vrfilms/542654/,V R FILMS & STUDIOS LIMITED,15.92
542655,Vikas Lifecare Ltd,Active,B,1.00,INE161L01027,,VIKASLIFE,Equity,https://www.bseindia.com/stock-share-price/vikas-lifecare-ltd/vikaslife/542655/,VIKAS LIFECARE LIMITED,274.93
